LAT,LON,MINOR
-0.447170842,44.41569165,1.834583251
-1.317203031,44.27049465,1.401888946
-2.087993959,43.09105068,3.144049926
-2.586348994,42.83893273,1.371224637
-2.596106529,42.5423025,1.272190536
-3.203149313,42.53348834,1.841571644
-2.435411964,44.36740165,3.319536839
-2.422250113,44.25603444,1.596803928
-0.785441575,44.80272836,2.313742235
0.263721275,46.55408284,4.586423906
-1.049036251,46.17033439,6.38481204
-0.67224969,46.09181416,1.952356761
-1.158140069,45.60539555,2.840694481
-1.945427259,45.34464937,2.761989966
-1.742496532,45.49944378,2.301874528
-2.081937801,45.54365385,2.064312114
-3.299585866,45.06007732,1.567167898
-2.707235115,44.4321393,1.756227592
-2.009229814,43.42536088,1.573595019
-3.385084388,43.11565369,1.071093633
-1.737628704,45.06091896,1.527137801
-2.032735979,44.98300449,1.034887447
0.717310955,47.73998423,2.809872812
-0.746672644,47.194548,1.881898888
-0.331353319,47.01140489,1.884291913
-1.209207297,46.99783403,1.148789285
-2.259836225,46.71416064,1.890110452
-2.562837735,46.31292752,2.4027589
-1.680008048,46.32945395,1.021257003
-2.689626907,47.63549405,2.795736536
-3.103553591,48.8918808,2.166171232
-2.929030367,48.81808308,2.390984336
-2.592844903,48.94852479,3.487907232
-0.963785366,49.51554185,2.438251766
-1.571699679,49.61578025,1.864582737
1.137514207,50.11432552,2.228091579
1.335735747,48.69961434,3.046641165
-2.19727273,48.02348083,1.805155901
-3.228877184,47.01122251,1.632050945
-2.949407155,47.13564698,1.136993769
-3.191453095,46.37435208,1.198828374
-3.375968038,46.6431901,1.237931007
-2.744829047,47.3894912,1.457328984
-1.926408564,48.87170781,1.842830835
-2.945613224,49.39311026,1.733435523
-3.293318764,50.03368404,1.39180155
-0.777865743,49.98631633,1.99109171
0.322891724,49.16785326,0.744237503
-0.316164121,48.50606343,1.42784579
0.387097613,53.63145619,2.166744655
0.679220619,53.68900618,1.548535653
-1.639787897,54.08384983,1.381120881
-2.051543364,53.79415942,1.552468657
-0.661347619,54.45775214,1.205446314
0.096640982,55.31986749,1.329478084
-0.307220015,54.84895298,2.303124179
-2.053244614,51.91304391,2.068572693
-2.823617405,51.96382079,1.490723798
-2.78026609,52.16900844,1.178727529
-2.732251646,52.44837137,1.616311023
-0.284674617,54.22662077,1.567770396
-3.995300497,52.46361162,1.792676161
-4.021803892,51.04668972,1.685125002
-4.946986707,51.72335715,1.41755718
-5.054349736,50.98266305,1.680472046
-4.520100457,50.71002819,1.820224553
-4.469941332,52.80363471,1.45500958
-3.360635741,52.72188722,1.805028277
-4.016058266,52.85756779,1.179908992
-3.789189543,48.13386011,1.264738359
-4.491354942,48.79627706,1.427373301
-4.431576298,47.47547565,1.691796077
-3.692094589,46.34974528,1.728223094
-4.437081662,49.64518686,0.931378327
-2.950572829,49.6425753,0.726866016
-4.408412266,45.79516852,2.506307341
-3.805775359,44.94275551,3.989813685
-5.061174977,46.7483037,1.514239974
-5.398558829,46.75256181,1.06877386
-3.594402908,44.57514635,1.602851265
-3.595437582,44.64024067,1.256463152
-4.931556107,41.99540325,1.869625819
-5.4890149,42.19826084,1.368027722
