OID_,Shape_Length,Shape_Area
676,34.524977595415429,94.854283272682423
677,34.629548748706554,95.429753215200535
678,23.997304168244380,45.826326870004223
679,34.353922337888783,93.916693707022105
680,24.487233132995151,47.716608471222749
681,20.929943270985198,34.859908144528156
682,23.365770305572656,43.446054451786701
683,26.361302167134188,55.299837421068396
685,18.309634333523139,26.677767170439697
686,22.324167896074265,39.658902920039921
687,17.739544307029533,25.042348493325232
688,25.127974979440644,50.246419268097831
689,22.596758259749919,40.633329982016861
690,25.727332298743043,52.671980440686745
691,26.135844535891735,54.357967830724853
692,30.628409154449400,74.651582077360118
693,25.584170974766408,52.087418440305086
694,23.172438227848460,42.730069795162990
695,22.986871897683105,42.048439908075956
697,20.105555707554167,32.167869523731852
698,36.274473675250896,104.711016473834249
699,32.207759586578547,82.548876634396635
700,22.268275010152646,39.460564004149909
701,22.105014451579354,38.884072330811961
702,20.344038148359360,32.935515025235226
703,19.403073009652957,29.959266185236721
704,38.254024823836247,116.451317578564442
705,27.580476628184140,60.533205201556356
706,23.664790382993406,44.565158951391922
707,22.948343696457446,41.907603601073141
708,21.950537950921618,38.342504062731017
709,38.034421871480390,115.118142818798006
710,37.333533391410462,110.914500157660470
711,21.935570970605383,38.290234195118323
712,21.638991596288285,37.261829343882795
713,20.897718550916260,34.752646888695956
715,21.440339541115677,36.580821443628125
716,28.608358458989642,65.129240481165041
717,21.834277815537465,37.937420624959245
718,34.110275688483569,92.589256138510535
719,21.430353392581075,36.546753285004201
720,19.517200981578231,30.312740714494957
722,26.200567657412396,54.627526645301906
724,26.359275795169090,55.291336040324097
725,42.442139166635037,143.345698795616471
726,86.567291468982631,596.345291910519336
727,32.075815452274313,81.873913200738968
728,25.115931925180526,50.198267728113692
729,28.674440998458376,65.430472473455708
730,21.837874052435165,37.949918696898187
731,22.707521773752013,41.032654608819740
732,28.894560673332087,66.438883757802103
733,24.248588440882969,46.791079096731551
734,22.717160248780331,41.067495588509061
735,36.119384555057955,103.817560429534410
736,22.605643250003997,40.665290116665140
737,25.002323157899351,49.745163697283516
738,24.928345633395661,49.451224628689353
739,21.304562108486323,36.118970270995561
741,27.789898592240974,61.455967475969551
742,22.048379296430671,38.685078175538358
743,24.890113837325039,49.299657462521203
